FECHA_CREACION;CARRERA;NIVEL_1;NIVEL_2;NIVEL_3;NIVEL_4
22-07-2023 13:07;TÉCNICO EN GESTIÓN DE PERSONAS;Financiamiento;Pagos y Deudas;Descuento pronto pago;Resuelto
22-07-2023 12:36;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN MARKETING;Académico;Información o convalidación;Prácticas;Resuelto
22-07-2023 12:12;GASTRONOMÍA INTERNACIONAL;Información general;Información general;Información sede;Resuelto
22-07-2023 11:03;INGENIERÍA EN INFRAESTRUCTURA Y PLATAFORMAS TECNOLÓGICAS;Académico;Admisión especial interna ;Cambio de jornada;Resuelto
22-07-2023 10:55;TURISMO Y HOTELERÍA;Inscripción de asign;Información del proceso;Uso plataforma IA;Resuelto
22-07-2023 10:44;GASTRONOMÍA INTERNACIONAL;Académico;Admisión especial interna ;Reincorporación a la carrera;Resuelto
22-07-2023 9:51;INGENIERÍA EN CONECTIVIDAD Y REDES;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
22-07-2023 9:08;INGENIERÍA EN CONECTIVIDAD Y REDES;Académico;Información o convalidación;Prácticas;Resuelto
21-07-2023 20:49;TÉCNICO EN GESTIÓN DE PERSONAS - Vespertino;Académico;Información o convalidación;Prácticas;Resuelto
21-07-2023 20:20;INGENIERÍA EN CONECTIVIDAD Y REDES;Académico;Actualización de datos;Firma electrónica de contrato alumno continuidad;Resuelto
21-07-2023 20:18;INGENIERÍA EN INFORMÁTICA;Información general;Información general;Servicios y otros;Resuelto
21-07-2023 19:18;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN FINANZAS;Académico;Información o convalidación;Asignaturas;Resuelto
21-07-2023 19:15;TURISMO Y HOTELERÍA;Tecnología;Plataformas Alumnos;Firma electrónica consentimiento deuda;Resuelto
21-07-2023 18:44;INGENIERÍA EN COMERCIO EXTERIOR;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
21-07-2023 18:27;INGENIERÍA EN INFORMÁTICA;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
21-07-2023 18:04;INGENIERÍA EN INFORMÁTICA;Académico;Admisión especial interna ;Cambio de sede;Resuelto
21-07-2023 17:53;INGENIERÍA EN INFORMÁTICA;Financiamiento;Pagos y Deudas;Cta. Cte. Alumno regular sin deuda aparente;Resuelto
21-07-2023 17:46;INGENIERÍA EN INFORMÁTICA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
21-07-2023 17:44;GASTRONOMÍA INTERNACIONAL;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
21-07-2023 17:30;INGENIERÍA EN CONECTIVIDAD Y REDES;Académico;Admisión especial interna ;Cambio de sede;Resuelto
21-07-2023 17:25;GASTRONOMÍA INTERNACIONAL;Académico;Admisión especial interna ;Cambio de carrera;Resuelto
21-07-2023 17:08;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN GESTIÓN DE PERSONAS;Académico;Interrupción del semestre;Suspensión;Resuelto
21-07-2023 17:00;INGENIERÍA EN INFORMÁTICA;Tecnología;Gestión de cuentas;Cuenta alumno continuidad;Resuelto
21-07-2023 16:59;INGENIERÍA EN INFORMÁTICA;Información general;Información general;Servicios y otros;Resuelto
21-07-2023 16:58;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN GESTIÓN DE PERSONAS;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
21-07-2023 16:58;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN FINANZAS;Inscripción de asign;Oferta académica;Asignatura no disponible;Resuelto
21-07-2023 16:45;GASTRONOMÍA INTERNACIONAL;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
21-07-2023 16:43;ECOTURISMO;Académico;Interrupción del semestre;Suspensión;Resuelto
21-07-2023 16:33;GASTRONOMÍA INTERNACIONAL;Inscripción de asign;Información del proceso;Ventana de inscripción;Resuelto
21-07-2023 16:17;INGENIERÍA EN INFORMÁTICA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
21-07-2023 16:13;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN FINANZAS;Inscripción de asign;Información del proceso;Modificación de carga;Resuelto
21-07-2023 16:08;INGENIERÍA EN INFORMÁTICA;Información general;Información general;Servicios y otros;Resuelto
21-07-2023 15:54;INGENIERÍA EN INFORMÁTICA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
21-07-2023 15:53;INGENIERÍA EN COMERCIO EXTERIOR;Información general;Información general;Servicios y otros;Resuelto
21-07-2023 15:41;GASTRONOMÍA INTERNACIONAL;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
21-07-2023 15:36;INGENIERÍA EN INFORMÁTICA;Académico;Admisión especial interna ;Reincorporación a la carrera;Resuelto
21-07-2023 15:34;GASTRONOMÍA INTERNACIONAL;Académico;Gestión académica;Contacto coordinador de carrera;Resuelto
21-07-2023 15:23;GASTRONOMÍA INTERNACIONAL;Inscripción de asign;Bloqueos;Bloqueo académico;Resuelto
21-07-2023 15:09;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN MARKETING;Inscripción de asign;Información del proceso;Modificación de carga;Resuelto
21-07-2023 15:06;INGENIERÍA EN INFORMÁTICA;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
21-07-2023 15:04;INGENIERÍA EN COMERCIO EXTERIOR;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
21-07-2023 14:56;GASTRONOMÍA INTERNACIONAL;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
21-07-2023 14:45;INGENIERÍA EN MARKETING;Tecnología;Gestión de cuentas;Cuenta titulado;Resuelto
21-07-2023 14:06;TÉCNICO EN ADMINISTRACIÓN;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
21-07-2023 14:05;TÉCNICO EN ADMINISTRACIÓN;Financiamiento;Pagos y Deudas;Firma electrónica consentimiento deuda;Resuelto
21-07-2023 13:56;TOURISM AND HOSPITALITY;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
21-07-2023 13:36;GASTRONOMÍA INTERNACIONAL;Tecnología;Gestión de cuentas;Cuenta alumno continuidad;Resuelto
21-07-2023 13:26;INGENIERÍA EN MARKETING;Tecnología;Plataformas Alumnos;Gestión prácticas;Resuelto
21-07-2023 13:20;INGENIERÍA EN MARKETING;Vida estudiantil;Asuntos estudiantiles;Seguro estudiantil;Resuelto
21-07-2023 13:14;INGENIERÍA EN ADMINISTRACIÓN MENCIÓN MARKETING;Fuera de alcance;Fuera de alcance;Fuera de alcance;Resuelto
21-07-2023 13:04;INGENIERÍA EN INFORMÁTICA;Financiamiento;Pagos y Deudas;Pago en línea;Resuelto
